asset_id,relative_path,filename,file_size,sha256,width,height,decodable,document_title,document_id,page,section,figure_number,figure_title,family,model,order_number,visual_type,source,verified,qualified,rejection_reasons
ASSET_0015,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00030.jpg,page_00030.jpg,134758,49cc361861353b0aebf60bb235a9e5545e5a73d683068c8ba53a324c77f6fbe4,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,30,基本信息 > 自动化系统 > 2 安全信息 > 2.9 残余风险 > 2.9.1 带电部件,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0016,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00033.jpg,page_00033.jpg,113981,c120ca6e4f48ec838382e6b9af545bf9d508ea4d3b36fad80c502ae6a684a1b9,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,33,基本信息 > 自动化系统 > 2 安全信息 > 2.11 材料损坏 > 2.11.2 安装和连接,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0017,safeplc_assist_box/frontend/assets/demo_evidence_150/safety/page_00049.jpg,page_00049.jpg,179615,746ab789090cce73fefd5aadd0d97474250f69c82e1734e977301af70909e5ad,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,49,基本信息 > 自动化系统 > 4 工业网络安全 > 4.5 应用操作环境和安全假设 > 4.5.1 预期用途,,,unknown,unknown,unknown,safety_risk_page,real_manual_page,True,True,
ASSET_0018,safeplc_assist_box/frontend/assets/demo_evidence_150/module_layout/page_00093.jpg,page_00093.jpg,165929,04109d8e2121397cda3bc32fe93140f64755c51388ef21b39b7c86211d758542,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,93,基本信息 > 自动化系统 > 5 系统概述 > 5.2 组态 > 5.2.3 使用 SIMATIC S7-1500 组态故障安全系统,图 1-19,带有故障安全 I/O 模块的 ET 200MP 组态示例,unknown,unknown,unknown,module_cpu_page,real_manual_page,True,True,
ASSET_0019,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00095.jpg,page_00095.jpg,199752,c7eff696dd4a90e63a79c7765bc045e4a0ca4bb8be35e6d82724bd42ae867ff0,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,95,基本信息 > 自动化系统 > 5 系统概述 > 5.3 组件,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0020,safeplc_assist_box/frontend/assets/demo_evidence_150/wiring_terminal/page_00096.jpg,page_00096.jpg,240179,9545d517747139cc6813c7724cb569d50e5bd63fa2245efcdb2c9943c1d581d6,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,96,基本信息 > 自动化系统 > 5 系统概述 > 5.3 组件,,,unknown,unknown,unknown,wiring_or_terminal_page,real_manual_page,True,True,
ASSET_0021,safeplc_assist_box/frontend/assets/demo_evidence_150/wiring_terminal/page_00097.jpg,page_00097.jpg,224180,2e4d3edbf9298981f9475dc87085274a76ab71062d2b86a088f3111c6bdf9e3b,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,97,基本信息 > 自动化系统 > 5 系统概述 > 5.3 组件,,,unknown,unknown,unknown,wiring_or_terminal_page,real_manual_page,True,True,
ASSET_0022,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00098.jpg,page_00098.jpg,181275,0884827fc242a520738dd8a7894fceb443d1e67b7d3119eab05d52711fea0333,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,98,基本信息 > 自动化系统 > 5 系统概述 > 5.3 组件,,,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0023,safeplc_assist_box/frontend/assets/demo_evidence_150/installation_power/page_00099.jpg,page_00099.jpg,172033,e24bb4f4f0bccad70b78d3fd191eb1c24182af83f3f79958ddc37340221ce0e3,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,99,基本信息 > 自动化系统 > 5 系统概述 > 5.4 CPU,图 1-20,控制器,unknown,unknown,unknown,installation_power_page,real_manual_page,True,True,
ASSET_0024,safeplc_assist_box/frontend/assets/demo_evidence_150/parameters/page_00103.jpg,page_00103.jpg,243035,30c915d9e0b0c11b33d813b696357f636ce2f598611f30706dc466fb21eb0f00,993,1323,True,S7-1500/ET 200MP Manual Collection,A5E03461186-AN,103,基本信息 > 自动化系统 > 5 系统概述 > 5.4 CPU > 5.4.2 CPU 的技术规范,,,unknown,unknown,unknown,table_or_parameter_page,real_manual_page,True,True,
